log_id,timestamp,airport_code,flight_number,departure_city,arrival_city,passenger_count,flight_status,gate_number,airline_name,FastTrack
1,10/01/2022 07:03:53,UJE,AA123,Otterburn Park,Buritama,358,On Time,30,Podcat,Standard
2,06/12/2022 06:55:32,MJM,UA789,Caruaru,Turmi,359,Delayed,30,Blogspan,None
3,06/06/2022 08:04:17,CCV,DL456,Venado Tuerto,Genova,265,Delayed,22,Wikibox,Standard
4,10/26/2022 02:59:23,YTF,UA789,Penglai,Al Khafsah,291,Delayed,7,Buzzdog,Standard
5,01/06/2022 13:30:19,KNJ,UA789,Wangdian,Loreto,148,Delayed,17,Ntag,None
6,04/19/2022 19:58:12,TLJ,AA123,Sidomulyo,Mujães,56,Delayed,10,Zoomdog,Premium
7,07/26/2022 07:57:55,FDA,UA789,Xinfang,Ngorongoro,168,Delayed,13,Avavee,Premium
8,08/01/2022 06:23:36,HUV,UA789,Eséka,Guangping,368,On Time,3,Blogtag,Premium
9,06/09/2022 17:23:36,VDE,UA789,,Finspång,129,Cancelled,5,Npath,Premium
10,11/17/2022 14:41:14,PSN,UA789,Barão de Melgaço,Kintinku,160,Delayed,26,Livetube,None
11,06/07/2022 04:09:44,SQJ,UA789,Foča,Xijiadian,174,Cancelled,2,Agivu,Standard
12,11/13/2022 23:35:33,FLM,UA789,Obispos,Baisha,312,Cancelled,4,Oozz,Standard
13,07/02/2022 01:32:55,XTO,DL456,Lodan Wetan,Sukhobuzimskoye,153,Delayed,14,Rhynoodle,Premium
14,07/27/2022 01:25:28,TDW,AA123,Praia da Tocha,Caluquembe,120,On Time,2,Wordtune,Premium
15,04/05/2022 21:43:29,KDC,DL456,Turośń Kościelna,Nantes,111,On Time,19,Feedfire,Premium
16,06/11/2022 04:15:08,NHZ,DL456,Colonia Nicolich,Dukay,353,Delayed,10,Trunyx,None
17,04/18/2022 21:17:47,KEJ,UA789,Molinos,Bafia,339,Cancelled,16,Quire,None
